BRAND,TYPE,CC,TRANS,FUEL,TANK_CAPT,GVW (Kg),GEAR_RATIO,WHEEL_&_TYRE_SIZE,HP,WHEEL_BASE,Dimention,SEATER,DRIVE_SYS,penggerak,SPEED,DOOR,WHEELS,CBU/CKD,ORIGIN COUNTRY
MAZDA,MX-5 RF,1999,AT,G,50,-,3863,205/45R17,160,2330,4020 x  1720 x  1255,2,4X2,FF,-,4,4,CBU,Japan
MAZDA,All New  Mazda 3 Sedan,1998,AT,G,51,-,-,215/45R18,155,2725,"4,660 x  1,795 x  1,440",5,4X2,FF,-,5,4,CBU,Japan
MAZDA,All-new  Mazda 6,2488,AT,G,64,-,4056,225/45R19,187,2830,4865 x  1840 x  1450,5,4X2,FF,-,4,4,CBU,Japan
MAZDA,All-new  Mazda 6 Elite,2488,AT,G,64,-,4056,225/45R19,187,2830,4865 x  1840 x  1450,5,4X2,FF,-,4,4,CBU,Japan
MERCEDES-BENZ - PC,CLA  200 AMG Line (C117),1556,AT,G,50,1920,7,225/40 R18,156,2669,"4,669 x  2,032 x  1,427",5,4X2,FF,-,4,4,CBU,IND
MERCEDES-BENZ - PC,C180,1991,AT,G,41,2030,7,225/50 R17,184,2840,"4,686 x  2,020 x  1,442",5,4X2,FR,-,4,4,CKD,IND
MERCEDES-BENZ - PC,C 200,1991,AT,G,41,2030,7,225/50 R17,184,2840,"4,686 x  2,020 x  1,442",5,4X2,FR,-,4,4,CKD,IND
MERCEDES-BENZ - PC,C 200 AVA,1991,AT,G,66,2030,9,"225/45, 245/40 R18",184,2840,"4,686 x  2,020 x  1,442",5,4X2,FR,-,4,4,CKD,IND
MERCEDES-BENZ - PC,C 250 AMG,1991,AT,G,66,2045,7,"225/45, 245/40 R18",211,2840,"4,702 x  2,020 x  1,432",5,4X2,FR,-,4,4,CKD,IND
MERCEDES-BENZ - PC,C 300 AMG,1991,AT,G,66,2135,9,"225/45, 245/40 R18",258,2840,"4,702 x  2,020 x  1,432",5,4X2,FR,-,4,4,CKD,IND
MERCEDES-BENZ - PC,E 200 AVA,1991,AT,G,66,2265,9,245/45 R18,184,2939,"4,686 x  2,065 x  1,468",5,4X2,FR,-,4,4,CKD,IND
