,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
BRAND,TYPE MODEL,CC,TRANS,FUEL,TANK CAPT,GVW (Kg),GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU / CKD,ORIGIN COUNTRY
,JR36 530I,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CKD,Indonesia
,5Z36 330I,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CKD,Indonesia
,JX62 630I,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,-,-
,22BP 630I,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,0,0,4,CBU,Germany
,7T06 730LI,3000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany
,5Z16 320I,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CKD,INA
,JR12 520I,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CKD,Indonesia
,7T22 740LI,2998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Germany
,7E26 740LI,2979,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,-,CKD,INA
,740LI,2998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,-,-
,AE22 840I,2998,AT,G,-,-,-,-,-,-,-,-,-,-,-,-,4,CBU,Germany
HYUNDAI - HIM,All New  Sonata GLS,2400,AT,G,70,2030,-,-,-,-,4820 x  1835 x  1470,4,4X2,-,-,4,4,CBU,Korea
HONDA,New  ACCORD VTi-L,2354,CVT,G,65,1525,-,-,176,2275,4870 x  1850 x  1465,5,4X2,FF,-,4,4,CBU,Thailand
LEXUS,Lexus  ES 250 H,2494,AT,G,-,-,-,-,181 / 6000,0,4900X1820X1450,4,4X2,FR,0,4,4,CBU,Japan
,Lexus  ES 300 H,2494,AT,G,65,-,-,215 / 55 R17,202 / 5700,2820,4900X1820X1450,4,4X2,FR,0,4,4,CBU,Japan
MAZDA,MX-5 RF,1999,AT,G,50,-,3863,205/45R17,160,2330,4020 x  1720 x  1255,2,4X2,FF,-,4,4,CBU,Japan
,All New  Mazda 3 Sedan,1998,AT,G,51,-,-,215/45R18,155,2725,"4,660 x  1,795 x  1,440",5,4X2,FF,-,5,4,CBU,Japan
,All-new  Mazda 6,2488,AT,G,64,-,4056,225/45R19,187,2830,4865 x  1840 x  1450,5,4X2,FF,-,4,4,CBU,Japan
,All-new  Mazda 6 Elite,2488,AT,G,64,-,4056,225/45R19,187,2830,4865 x  1840 x  1450,5,4X2,FF,-,4,4,CBU,Japan
MERCEDES-BENZ - PC,CLA  200 AMG Line (C117),1556,AT,G,50,1920,7,225/40 R18,156,2669,"4,669 x  2,032 x  1,427",5,4X2,FF,-,4,4,CBU,IND
,C180,1991,AT,G,41,2030,7,225/50 R17,184,2840,"4,686 x  2,020 x  1,442",5,4X2,FR,-,4,4,CKD,IND
,C 200,1991,AT,G,41,2030,7,225/50 R17,184,2840,"4,686 x  2,020 x  1,442",5,4X2,FR,-,4,4,CKD,IND
,C 200 AVA,1991,AT,G,66,2030,9,"225/45, 245/40 R18",184,2840,"4,686 x  2,020 x  1,442",5,4X2,FR,-,4,4,CKD,IND
,C 250 AMG,1991,AT,G,66,2045,7,"225/45, 245/40 R18",211,2840,"4,702 x  2,020 x  1,432",5,4X2,FR,-,4,4,CKD,IND
,C 300 AMG,1991,AT,G,66,2135,9,"225/45, 245/40 R18",258,2840,"4,702 x  2,020 x  1,432",5,4X2,FR,-,4,4,CKD,IND
,E 200 AVA,1991,AT,G,66,2265,9,245/45 R18,184,2939,"4,686 x  2,065 x  1,468",5,4X2,FR,-,4,4,CKD,IND
,E 300 AVA,1991,AT,G,66,2395,9,245/45 R18,258,2939,"4,686 x  2,065 x  1,468",5,4X2,FR,-,4,4,CKD,IND
